series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;GRU (48u, 3w, 30e, 64b);6,3350;3,7006;4,3121;3,6888;3,3741;4,0510;3,3674;False
B;GRU (48u, 3w, 50e, 64b);6,9112;3,6800;4,3002;3,6683;3,3722;4,0496;3,3655;False
B;GRU (48u, 3w, 100e, 64b);8,8225;3,6454;4,2878;3,6337;3,3413;4,0390;3,3346;False
B;GRU (48u, 3w, 150e, 64b);10,8040;3,6313;4,2831;3,6196;3,3314;4,0401;3,3247;False
B;GRU (48u, 6w, 30e, 16b);6,1907;3,6928;4,3356;3,6808;3,3012;4,0159;3,2946;False
B;GRU (48u, 6w, 50e, 16b);8,0428;3,7267;4,3419;3,7146;3,2919;4,0110;3,2855;False
B;GRU (48u, 6w, 100e, 16b);11,3245;3,3011;4,2644;3,2872;3,7488;4,3960;3,7442;False
B;GRU (48u, 6w, 150e, 16b);13,7237;4,2096;5,0767;4,2012;4,2718;5,2160;4,2668;False
B;GRU (48u, 6w, 30e, 32b);7,3791;3,7270;4,3317;3,7151;3,3283;4,0259;3,3218;False
B;GRU (48u, 6w, 50e, 32b);8,5033;3,7058;4,3426;3,6938;3,2947;4,0111;3,2883;False
B;GRU (48u, 6w, 100e, 32b);11,6312;3,4345;4,2546;3,4224;3,4245;4,1313;3,4179;False
B;GRU (48u, 6w, 150e, 32b);13,9246;3,2558;4,2007;3,2425;3,7338;4,3824;3,7288;False
B;GRU (48u, 6w, 30e, 64b);7,7571;3,6716;4,3380;3,6598;3,3684;4,0673;3,3619;False
B;GRU (48u, 6w, 50e, 64b);9,5923;3,6889;4,3264;3,6770;3,3286;4,0284;3,3221;False
B;GRU (48u, 6w, 100e, 64b);12,6191;3,7425;4,3502;3,7303;3,2893;4,0133;3,2830;False
B;GRU (48u, 6w, 150e, 64b);15,5517;3,6095;4,2822;3,5979;3,3532;4,0471;3,3463;False
B;GRU (48u, 12w, 30e, 16b);9,3306;3,7690;4,3690;3,7566;3,2867;4,0366;3,2805;False
B;GRU (48u, 12w, 50e, 16b);10,2085;3,6770;4,3190;3,6653;3,2947;4,0213;3,2880;False
B;GRU (48u, 12w, 100e, 16b);14,3458;3,2362;4,0793;3,2226;3,7389;4,3032;3,7345;False
B;GRU (48u, 12w, 150e, 16b);16,7897;1,6050;2,1237;1,6077;5,5103;6,2059;5,5064;False
B;GRU (48u, 12w, 30e, 32b);7,8162;3,7585;4,3540;3,7463;3,3147;4,0446;3,3083;False
B;GRU (48u, 12w, 50e, 32b);8,7407;3,7012;4,3267;3,6892;3,2910;4,0070;3,2845;False
