series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;LSTM (128u, 18w, 50e, 32b);27,1933;0,4544;0,5104;0,4524;0,5414;1,2069;0,5325;False
C;LSTM (128u, 18w, 50e, 64b);11,4669;0,4529;0,5150;0,4510;0,5536;1,2208;0,5446;False
C;LSTM (128u, 18w, 100e, 16b);18,9785;0,4715;0,5295;0,4694;0,5658;1,1841;0,5566;False
C;LSTM (128u, 18w, 100e, 32b);16,0049;0,5433;0,6009;0,5407;0,5940;1,2127;0,5846;False
C;LSTM (128u, 18w, 100e, 64b);14,6215;0,4817;0,5407;0,4796;0,5507;1,2066;0,5417;False
C;LSTM (128u, 18w, 200e, 16b);30,5552;0,6590;0,7769;0,6548;0,7144;1,2587;0,7034;False
C;LSTM (128u, 18w, 200e, 32b);24,7008;0,6080;0,6685;0,6047;0,6395;1,2087;0,6297;False
C;LSTM (128u, 18w, 200e, 64b);22,2219;0,5148;0,5704;0,5123;0,5758;1,1966;0,5666;False
C;LSTM (128u, 24w, 50e, 16b);14,4416;0,4416;0,5137;0,4396;0,5587;1,2214;0,5496;False
C;LSTM (128u, 24w, 50e, 32b);12,3322;0,5049;0,5608;0,5025;0,5678;1,2085;0,5587;False
C;LSTM (128u, 24w, 50e, 64b);11,1816;0,4943;0,5551;0,4921;0,5707;1,2228;0,5615;False
C;LSTM (128u, 24w, 100e, 16b);20,2586;0,6092;0,7467;0,6051;0,6669;1,1832;0,6565;False
C;LSTM (128u, 24w, 100e, 32b);16,9974;0,5771;0,7116;0,5735;0,6477;1,1844;0,6375;False
C;LSTM (128u, 24w, 100e, 64b);15,6829;0,4201;0,4785;0,4184;0,5278;1,2093;0,5189;False
C;LSTM (128u, 24w, 200e, 16b);34,6486;0,7572;0,8268;0,7524;0,7438;1,2424;0,7329;False
C;LSTM (128u, 24w, 200e, 32b);27,2863;0,4764;0,5981;0,4739;0,6309;1,2522;0,6209;False
C;LSTM (128u, 24w, 200e, 64b);24,9646;0,6462;0,7424;0,6424;0,6637;1,2306;0,6534;False
