series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;GRU (128u, 3w, 200e, 64b);16,4269;0,5515;0,6182;0,5488;0,6014;1,2292;0,5920;False
C;GRU (128u, 6w, 50e, 16b);10,9756;0,4102;0,4760;0,4086;0,5378;1,2204;0,5289;False
C;GRU (128u, 6w, 50e, 32b);10,6453;0,4422;0,5064;0,4403;0,5475;1,2211;0,5385;False
C;GRU (128u, 6w, 50e, 64b);11,0890;0,5620;0,6224;0,5593;0,6132;1,2328;0,6037;False
C;GRU (128u, 6w, 100e, 16b);14,4010;0,5076;0,5699;0,5052;0,5774;1,2256;0,5682;False
C;GRU (128u, 6w, 100e, 32b);13,8255;0,4885;0,5518;0,4863;0,5672;1,2239;0,5581;False
C;GRU (128u, 6w, 100e, 64b);13,2738;0,5141;0,5755;0,5117;0,5819;1,2265;0,5726;False
C;GRU (128u, 6w, 200e, 16b);22,3343;0,4884;0,5506;0,4861;0,5711;1,2267;0,5619;False
C;GRU (128u, 6w, 200e, 32b);19,2475;0,5120;0,5749;0,5096;0,5793;1,2260;0,5701;False
C;GRU (128u, 6w, 200e, 64b);18,1623;0,5027;0,5655;0,5004;0,5746;1,2251;0,5654;False
C;GRU (128u, 12w, 50e, 16b);12,0998;0,4420;0,5044;0,4402;0,5479;1,2206;0,5389;False
C;GRU (128u, 12w, 50e, 32b);9,7579;0,4565;0,5213;0,4545;0,5528;1,2215;0,5438;False
C;GRU (128u, 12w, 50e, 64b);9,9481;0,5121;0,5757;0,5097;0,5777;1,2255;0,5685;False
C;GRU (128u, 12w, 100e, 16b);16,0618;0,3026;0,3766;0,3017;0,5253;1,2272;0,5165;False
C;GRU (128u, 12w, 100e, 32b);14,4413;0,3139;0,3817;0,3128;0,5213;1,2230;0,5125;False
C;GRU (128u, 12w, 100e, 64b);13,0656;0,4829;0,5441;0,4807;0,5641;1,2224;0,5550;False
C;GRU (128u, 12w, 200e, 16b);24,1787;0,5903;0,6455;0,5872;0,6126;1,2024;0,6031;False
C;GRU (128u, 12w, 200e, 32b);20,7894;0,3632;0,4326;0,3619;0,5263;1,2196;0,5174;False
C;GRU (128u, 12w, 200e, 64b);18,9351;0,5197;0,5767;0,5173;0,5734;1,2026;0,5642;False
C;GRU (128u, 18w, 50e, 16b);11,7043;0,4324;0,4961;0,4306;0,5447;1,2205;0,5357;False
C;GRU (128u, 18w, 50e, 32b);23,1064;0,5531;0,6132;0,5504;0,6079;1,2316;0,5985;False
C;GRU (128u, 18w, 50e, 64b);11,4183;0,4291;0,4958;0,4273;0,5434;1,2204;0,5344;False
C;GRU (128u, 18w, 100e, 16b);18,7694;0,5246;0,5815;0,5220;0,5733;1,1877;0,5641;False
C;GRU (128u, 18w, 100e, 32b);16,9395;0,4767;0,5338;0,4745;0,5490;1,2000;0,5400;False
C;GRU (128u, 18w, 100e, 64b);14,6106;0,4983;0,5598;0,4960;0,5734;1,2249;0,5642;False
C;GRU (128u, 18w, 200e, 16b);26,9291;0,5511;0,6097;0,5482;0,5971;1,1812;0,5875;False
C;GRU (128u, 18w, 200e, 32b);22,9302;0,6426;0,6976;0,6391;0,6651;1,2268;0,6551;False
C;GRU (128u, 18w, 200e, 64b);20,9471;0,4568;0,5153;0,4548;0,5348;1,2015;0,5259;False
C;GRU (128u, 24w, 50e, 16b);13,2828;0,5201;0,5823;0,5177;0,5845;1,2266;0,5753;False
C;GRU (128u, 24w, 50e, 32b);11,7235;0,5181;0,5787;0,5157;0,5850;1,2272;0,5758;False
C;GRU (128u, 24w, 50e, 64b);11,0415;0,5188;0,5816;0,5163;0,5831;1,2269;0,5738;False
C;GRU (128u, 24w, 100e, 16b);18,7508;0,5616;0,6986;0,5582;0,6535;1,2149;0,6432;False
C;GRU (128u, 24w, 100e, 32b);16,1084;0,5022;0,5640;0,4999;0,5736;1,2240;0,5644;False
C;GRU (128u, 24w, 100e, 64b);14,3275;0,4839;0,5460;0,4817;0,5662;1,2239;0,5571;False
C;GRU (128u, 24w, 200e, 16b);29,8017;0,4824;0,5636;0,4799;0,5594;1,1896;0,5500;False
C;GRU (128u, 24w, 200e, 32b);26,8331;0,6145;0,6989;0,6111;0,6419;1,2141;0,6320;False
C;GRU (128u, 24w, 200e, 64b);22,0288;0,5102;0,5796;0,5076;0,5594;1,1640;0,5502;False
