series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;RNN (128u, 18w, 200e, 32b);17,9655;0,5042;0,5531;0,5019;0,5696;1,2043;0,5604;False
C;RNN (128u, 18w, 200e, 64b);16,6788;0,4938;0,5428;0,4915;0,5687;1,2131;0,5595;False
C;RNN (128u, 24w, 50e, 16b);10,0327;0,5782;0,6677;0,5750;0,6526;1,2094;0,6426;False
C;RNN (128u, 24w, 50e, 32b);9,5702;0,4790;0,5747;0,4765;0,5912;1,1911;0,5817;False
C;RNN (128u, 24w, 50e, 64b);10,5493;0,4923;0,5806;0,4898;0,5894;1,1865;0,5799;False
C;RNN (128u, 24w, 100e, 16b);13,2445;0,5427;0,6278;0,5398;0,6296;1,2142;0,6198;False
C;RNN (128u, 24w, 100e, 32b);11,9573;0,5173;0,5997;0,5146;0,6098;1,2009;0,6001;False
C;RNN (128u, 24w, 100e, 64b);11,9870;0,8025;0,8905;0,7969;0,7925;1,2578;0,7810;False
C;RNN (128u, 24w, 200e, 16b);22,4738;0,4742;0,5725;0,4717;0,6075;1,1970;0,5978;False
C;RNN (128u, 24w, 200e, 32b);18,7575;0,6797;0,7717;0,6755;0,7217;1,2339;0,7110;False
C;RNN (128u, 24w, 200e, 64b);17,5605;0,6223;0,7218;0,6186;0,6911;1,2275;0,6807;False
